city,official_code,school_name,campus_name,campus_address,dining_venue,floor,source_date,campus_source_url,source_url,review_status,reviewed_at,verification_basis
乌鲁木齐市,4165010760,新疆医科大学,新医路校区,新疆维吾尔自治区乌鲁木齐市新市区新医路393号,新怡餐厅,1号公寓一楼、二楼,,https://gjjyxy.xjmu.edu.cn/info/1061/1128.htm,https://gjjyxy.xjmu.edu.cn/info/1061/1128.htm,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
乌鲁木齐市,4165010760,新疆医科大学,新医路校区,新疆维吾尔自治区乌鲁木齐市新市区新医路393号,杏林餐厅,5号公寓楼一楼,,https://gjjyxy.xjmu.edu.cn/info/1061/1128.htm,https://gjjyxy.xjmu.edu.cn/info/1061/1128.htm,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
兰州市,4162010730,兰州大学,城关校区西区,甘肃省兰州市城关区天水南路222号,丹桂苑食堂,一楼、二楼、三楼,2020-03-12,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
兰州市,4162010730,兰州大学,榆中校区,甘肃省兰州市榆中县夏官营镇,桃李食园（清真）,一楼,2020-03-12,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
兰州市,4162010730,兰州大学,榆中校区,甘肃省兰州市榆中县夏官营镇,玉树苑,一楼、二楼、三楼（第三层为清真食堂）,2020-03-12,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
兰州市,4162010730,兰州大学,榆中校区,甘肃省兰州市榆中县夏官营镇,综合体食堂,负一楼至四楼,2020-03-12,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
兰州市,4162010730,兰州大学,榆中校区,甘肃省兰州市榆中县夏官营镇,芝兰苑,一楼、二楼,2020-03-12,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,https://zsb.lzu.edu.cn/zhaoshengzixun/changjianwenti/2020/0312/122355.html,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
南宁市,4145010593,广西大学,广西大学主校区,广西南宁市大学东路100号,南苑餐厅,一楼,,https://www.gxu.edu.cn/,https://www.gxu.edu.cn/info/1364/30499.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
南宁市,4145010593,广西大学,广西大学主校区,广西南宁市大学东路100号,秀苑餐厅,一楼、二楼,,https://www.gxu.edu.cn/,https://www.gxu.edu.cn/info/1004/32126.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
南宁市,4145010593,广西大学,广西大学主校区,广西南宁市大学东路100号,萃苑餐厅,一楼,,https://www.gxu.edu.cn/,https://www.gxu.edu.cn/info/1364/30499.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
南昌市,4136010403,南昌大学,东湖校区,江西省南昌市东湖区,东湖校区南院食堂,一楼,,https://www.ncu.edu.cn/info/1008/1102.htm,https://www.ncu.edu.cn/info/1010/31771.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
合肥市,4134010359,合肥工业大学,屯溪路校区,安徽省合肥市屯溪路193号,馨园食堂,二楼大厅,2025-07-08,https://zwb.hfut.edu.cn/info/1029/6075.htm,https://zwb.hfut.edu.cn/info/1029/6075.htm,confirmed_official_source,2026-08-11,2026-08-11重新查阅高校官方页面；页面同时明确校区、餐饮点和楼层
呼和浩特市,4115010126,内蒙古大学,玉泉校区,内蒙古自治区呼和浩特市玉泉区昭君路24号,东院食堂,二楼餐厅、三楼餐厅；另有一楼餐厅培训记录,,https://hqc.imu.edu.cn/,https://hqc.imu.edu.cn/info/1021/3418.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
呼和浩特市,4115010126,内蒙古大学,玉泉校区,内蒙古自治区呼和浩特市玉泉区昭君路24号,西院食堂,二楼餐厅；含一楼南侧营业点,,https://hqc.imu.edu.cn/,https://hqc.imu.edu.cn/info/1021/3418.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
哈尔滨市,4123010224,东北农业大学,哈尔滨主校区,中国哈尔滨香坊区长江路600号,棘园一楼清真窗口,棘园一楼,,https://www.neau.edu.cn/,https://www.neau.edu.cn/info/1039/30937.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
哈尔滨市,4123010224,东北农业大学,哈尔滨主校区,中国哈尔滨香坊区长江路600号,棘园三楼教工餐厅,棘园三楼,,https://www.neau.edu.cn/,https://www.neau.edu.cn/info/1039/30937.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
哈尔滨市,4123010224,东北农业大学,哈尔滨主校区,中国哈尔滨香坊区长江路600号,棘园餐厅,一楼、二楼、三楼教工餐厅,,https://www.neau.edu.cn/,https://www.neau.edu.cn/info/1039/30937.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
哈尔滨市,4123010225,东北林业大学,哈尔滨主校区,黑龙江省哈尔滨市香坊区和兴路26号,俭德园食堂,一层；另有美食城1-2层,,https://www.nefu.edu.cn/,https://houqin.nefu.edu.cn/info/1005/2878.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
哈尔滨市,4123010225,东北林业大学,哈尔滨主校区,黑龙江省哈尔滨市香坊区和兴路26号,俭德园食堂美食城,1-2层,,https://www.nefu.edu.cn/,https://houqin.nefu.edu.cn/info/1005/1661.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
哈尔滨市,4123010225,东北林业大学,哈尔滨主校区,黑龙江省哈尔滨市香坊区和兴路26号,颐丰园食堂,三层,,https://www.nefu.edu.cn/,https://houqin.nefu.edu.cn/info/1005/2564.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
天津市,4112010056,天津大学,北洋园校区,天津市津南区雅观路135号,留学生食堂,留园二层,,https://zs.tju.edu.cn/ym21/lxwm/xxlxfs.htm,https://yx.tju.edu.cn/jztd/ys/201806/t20180602_307309.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
天津市,4112010056,天津大学,卫津路校区,天津市南开区卫津路92号,学五食堂,二层清真食堂；三层套餐快餐等,,https://zs.tju.edu.cn/ym21/lxwm/xxlxfs.htm,https://yx.tju.edu.cn/jztd/ys/201806/t20180602_307309.htm,confirmed_official_source,2026-08-11,历史A级官方证据快照；校区与餐饮来源当前均返回2xx；已剔除异地校区和不明确楼层
