学校名称,学校标识码,主管部门,办学层次,备注,审核状态
中山大学,4144010558,教育部,本科,,candidate
暨南大学,4144010559,中央统战部,本科,,candidate
华南理工大学,4144010561,教育部,本科,,candidate
华南农业大学,4144010564,广东省,本科,,candidate
广州医科大学,4144010570,广东省,本科,,candidate
广州中医药大学,4144010572,广东省,本科,,candidate
广东药科大学,4144010573,广东省,本科,,candidate
华南师范大学,4144010574,广东省,本科,,candidate
广州体育学院,4144010585,广东省,本科,,candidate
广州美术学院,4144010586,广东省,本科,,candidate
星海音乐学院,4144010587,广东省,本科,,candidate
广东技术师范大学,4144010588,广东省,本科,,candidate
广东财经大学,4144010592,广东省,本科,,candidate
广东白云学院,4144010822,广东省教育厅,本科,民办,candidate
广州大学,4144011078,广东省,本科,,candidate
广州航海学院,4144011106,广东省,本科,,candidate
广东警官学院,4144011110,广东省,本科,,candidate
仲恺农业工程学院,4144011347,广东省,本科,,candidate
广东金融学院,4144011540,广东省,本科,,candidate
广东工业大学,4144011845,广东省,本科,,candidate
广东外语外贸大学,4144011846,广东省,本科,,candidate
广东培正学院,4144012059,广东省教育厅,本科,民办,candidate
南方医科大学,4144012121,广东省,本科,,candidate
广州城市理工学院,4144012617,广东省教育厅,本科,民办,candidate
广州软件学院,4144012618,广东省教育厅,本科,民办,candidate
广州南方学院,4144012619,广东省教育厅,本科,民办,candidate
广东外语外贸大学南国商学院,4144012620,广东省教育厅,本科,民办,candidate
广州华商学院,4144012621,广东省教育厅,本科,民办,candidate
华南农业大学珠江学院,4144012623,广东省教育厅,本科,民办,candidate
广州理工学院,4144012668,广东省教育厅,本科,民办,candidate
广州华立学院,4144013656,广东省教育厅,本科,民办,candidate
广州应用科技学院,4144013657,广东省教育厅,本科,民办,candidate
广州商学院,4144013667,广东省教育厅,本科,民办,candidate
广州工商学院,4144013714,广东省教育厅,本科,民办,candidate
广州科技职业技术大学,4144013717,广东省教育厅,本科,民办,candidate
广州新华学院,4144013902,广东省教育厅,本科,民办,candidate
广东第二师范学院,4144014278,广东省,本科,,candidate
香港科技大学（广州）,4144016412,广东省教育厅,本科,中外合作办学及内地与港澳合作办学,candidate
广东轻工职业技术大学,4144010833,广东省,本科,,candidate
广州职业技术大学,4144012046,广东省,本科,,candidate
广东交通职业技术学院,4144010861,广东省,专科,,candidate
广东水利电力职业技术学院,4144010862,广东省,专科,,candidate
广东南华工商职业学院,4144011114,广东省,专科,,candidate
私立华联学院,4144011121,广东省教育厅,专科,民办,candidate
广州民航职业技术学院,4144012040,交通运输部（中国民用航空局）,专科,,candidate
广东农工商职业技术学院,4144012322,广东省,专科,,candidate
广东科学技术职业学院,4144012572,广东省,专科,,candidate
广东食品药品职业学院,4144012573,广东省,专科,,candidate
广州康大职业技术学院,4144012575,广东省教育厅,专科,民办,candidate
广东行政职业学院,4144012577,广东省,专科,,candidate
广东体育职业技术学院,4144012578,广东省,专科,,candidate
广东建设职业技术学院,4144012741,广东省,专科,,candidate
广东女子职业技术学院,4144012742,广东省,专科,,candidate
广东机电职业技术学院,4144012743,广东省,专科,,candidate
广东岭南职业技术学院,4144012749,广东省教育厅,专科,民办,candidate
广东邮电职业技术学院,4144012953,广东省,专科,,candidate
广东工贸职业技术学院,4144012959,广东省,专科,,candidate
广东司法警官职业学院,4144012960,广东省,专科,,candidate
广东省外语艺术职业学院,4144012962,广东省,专科,,candidate
广东文艺职业学院,4144013707,广东省,专科,,candidate
广州体育职业技术学院,4144013708,广东省,专科,,candidate
广州工程技术职业学院,4144013709,广东省,专科,,candidate
广州涉外经济职业技术学院,4144013715,广东省教育厅,专科,民办,candidate
广州南洋理工职业学院,4144013716,广东省教育厅,专科,民办,candidate
广州现代信息工程职业技术学院,4144013912,广东省教育厅,专科,民办,candidate
广东理工职业学院,4144013919,广东省,专科,,candidate
广州华南商贸职业学院,4144013927,广东省教育厅,专科,民办,candidate
广州华立科技职业学院,4144013928,广东省教育厅,专科,民办,candidate
广州城市职业学院,4144013929,广东省,专科,,candidate
广东工程职业技术学院,4144013930,广东省,专科,,candidate
广州铁路职业技术学院,4144013943,广东省,专科,,candidate
广东科贸职业学院,4144014063,广东省,专科,,candidate
广州科技贸易职业学院,4144014065,广东省,专科,,candidate
广州珠江职业技术学院,4144014123,广东省教育厅,专科,民办,candidate
广州松田职业学院,4144014125,广东省教育厅,专科,民办,candidate
广州城建职业学院,4144014136,广东省教育厅,专科,民办,candidate
广州华商职业学院,4144014266,广东省教育厅,专科,民办,candidate
广州华夏职业学院,4144014268,广东省教育厅,专科,民办,candidate
广东青年职业学院,4144014361,广东省,专科,,candidate
广州东华职业学院,4144014362,广东省教育厅,专科,民办,candidate
广东艺术职业学院,4144014407,广东省,专科,,candidate
广东生态工程职业学院,4144014509,广东省,专科,,candidate
广州卫生职业技术学院,4144014592,广东省,专科,,candidate
广州幼儿师范高等专科学校,4144014756,广东省,专科,,candidate
广东制造职业技术学院,4144014965,广东省,专科,,candidate
